,순위,곡제목,가수명,앨범명,좋아요
1,1위,갑자기,아이오아이 (I.O.I),I.O.I 3rd MINI ALBUM [I.O.I : LOOP],56519
2,2위,REDRED,CORTIS (코르티스),GREENGREEN,65382
3,3위,LEMONADE,aespa,LEMONADE - The 2nd Album,40376
4,4위,It′s Me,아일릿(ILLIT),MAMIHLAPINATAPAI,43753
5,5위,LOVE ATTACK,RESCENE (리센느),SCENEDROME,85030
6,6위,소문의 낙원,AKMU (악뮤),개화,82905
7,7위,캐치 캐치,YENA (최예나),LOVE CATCHER,41545
8,8위,"기쁨, 슬픔, 아름다운 마음",AKMU (악뮤),개화,85102
9,9위,RUDE!,Hearts2Hearts (하츠투하츠),RUDE!,67854
10,10위,사랑하게 될 거야,한로로,이상비행,140009
11,11위,Drowning,WOODZ,OO-LI,302958
12,12위,0+0,한로로,자몽살구클럽,113530
13,13위,Heavy Serenade,NMIXX,Heavy Serenade,46090
14,14위,Good Goodbye,화사 (HWASA),Good Goodbye,121219
15,15위,404 (New Era),KiiiKiii (키키),Delulu Pack,68323
16,16위,타임캡슐,다비치,타임캡슐,74795
17,17위,Popcorn,도경수(D.O.),성장 - THE 3RD MINI ALBUM,86113
18,18위,BANG BANG,IVE (아이브),REVIVE+,66028
19,19위,WDA (Whole Different Animal) (Feat. G-DRAGON),aespa,LEMONADE - The 2nd Album,24323
20,20위,SWIM,방탄소년단,ARIRANG,62331
21,21위,VIRAL,BOYNEXTDOOR,HOME,31324
22,22위,너에게 닿기를,10CM,너에게 닿기를,152771
23,23위,Blue Valentine,NMIXX,Blue Valentine,118502
24,24위,멸종위기사랑,이찬혁,EROS,101778
25,25위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,496784
26,26위,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘,87047
27,27위,Golden,HUNTR/X,KPop Demon Hunters (Soundtrack from the Netflix Film),192773
28,28위,뛰어(JUMP),BLACKPINK,뛰어(JUMP),97890
29,29위,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,324353
30,30위,Do your dance,RIIZE,II - The 2nd Mini Album,25203
31,31위,Lemon Tang,Hearts2Hearts (하츠투하츠),Lemon Tang - The 2nd Mini Album,10614
32,32위,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,198468
33,33위,toxic till the end,로제 (ROSÉ),rosie,157271
34,34위,Body to Body,방탄소년단,ARIRANG,47438
35,35위,모르시나요(PROD.로코베리),조째즈,모르시나요,108643
36,36위,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,99184
37,37위,그대 작은 나의 세상이 되어,카더가든,부재,85249
38,38위,Whiplash,aespa,Whiplash - The 5th Mini Album,154447
39,39위,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,369084
40,40위,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),147863
41,41위,BOOMPALA,LE SSERAFIM (르세라핌),'PUREFLOW' pt.1,15281
42,42위,생각을 멈추다 보면,최유리,생각을 멈추다 보면,23474
43,43위,청춘만화,이무진,만화 (滿花),103007
44,44위,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",230655
45,45위,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),174909
46,46위,입춘,한로로,입춘,74979
47,47위,HAPPY,DAY6 (데이식스),Fourever,215861
48,48위,like JENNIE,제니 (JENNIE),Ruby,111352
49,49위,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,232112
50,50위,STYLE,Hearts2Hearts (하츠투하츠),STYLE,62548
51,51위,주저하는 연인들을 위해,잔나비,전설,454002
52,52위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,436334
53,53위,예뻤어,DAY6 (데이식스),Every DAY6 February,381175
54,54위,봄 내음보다 너를,김나영,봄 내음보다 너를,132984
55,55위,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,237851
56,56위,봄날,방탄소년단,YOU NEVER WALK ALONE,506650
57,57위,2.0,방탄소년단,ARIRANG,30988
58,58위,똑똑똑,BOYNEXTDOOR,HOME,25682
59,59위,Welcome to the Show,DAY6 (데이식스),Fourever,200592
60,60위,Hooligan,방탄소년단,ARIRANG,32568
61,61위,첫 만남은 계획대로 되지 않아,TWS (투어스),Sparkling Blue,175577
62,62위,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,75029
63,63위,FAMOUS,ALLDAY PROJECT,FAMOUS,132120
64,64위,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),237920
65,65위,Love Love Love (Feat. Yoong Jin Of Casker),에픽하이 (EPIK HIGH),Remapping The Human Soul,125337
66,66위,나는 반딧불,황가람,나는 반딧불,159372
67,67위,사랑은 봄비처럼...이별은 겨울비처럼...,임현정,All That Love,71432
68,68위,ADIOS!,BOYNEXTDOOR,HOME,18984
69,69위,APT.,로제 (ROSÉ),APT.,221357
70,70위,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,187970
71,71위,SPAGHETTI (feat. j-hope of BTS),LE SSERAFIM (르세라핌),SPAGHETTI,51890
72,72위,REBEL HEART,IVE (아이브),IVE EMPATHY,121358
73,73위,시작의 아이 ❍,박다혜,시작의 아이 ❍ ハジマリのコ Starting With You : ♡,72378
74,74위,Dynamite,방탄소년단,Dynamite (DayTime Version),464316
75,75위,달리 표현할 수 없어요,로이킴,달리 표현할 수 없어요,43006
76,76위,Magnetic,아일릿(ILLIT),SUPER REAL ME,147082
77,77위,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),224345
78,78위,BLACKHOLE,IVE (아이브),REVIVE+,40461
79,79위,Flower,오반(OVAN),교회오빠,88416
80,80위,눈을 감아도(2026),순순희(지환),눈을 감아도(2026),14995
81,81위,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',316350
82,82위,Love wins all,아이유,The Winning,224123
83,83위,FOCUS,Hearts2Hearts (하츠투하츠),FOCUS - The 1st Mini Album,44730
84,84위,에피소드,이무진,에피소드,143541
85,85위,Die With A Smile,Lady Gaga,Die With A Smile,137311
86,86위,ONE MORE TIME,ALLDAY PROJECT,ALLDAY PROJECT,62190
87,87위,FYA,방탄소년단,ARIRANG,27202
88,88위,헤어지자 말해요,박재정,1집 Alone,194635
89,89위,OVERDRIVE,TWS (투어스),play hard,45555
90,90위,LIVE FAST DIE SLOW,태양,QUINTESSENCE,13757
91,91위,"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush)",김하온 (HAON),쇼미더머니 12 Episode 1,41731
92,92위,Flashback,엔플라잉 (N.Flying),Man on the Moon,60316
93,93위,Like Animals,방탄소년단,ARIRANG,27862
94,94위,Aliens,방탄소년단,ARIRANG,25993
95,95위,순간을 영원처럼,임영웅,IM HERO 2,49532
96,96위,이 밤을 빌려 말해요,PLAVE,"이 밤을 빌려 말해요 (오늘 밤, 세계에서 이 사랑이 사라진다 해도 X PLAVE)",32029
97,97위,Soda Pop,KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),116738
98,98위,KISS KISS KISS (Feat. 선우 (THE BOYZ)) (Prod. by Hukky Shibaseki),NOWIMYOUNG (나우아임영),쇼미더머니 12 Episode 2,33142
99,99위,Upside Down,BOYNEXTDOOR,HOME,15932
100,100위,I AM,IVE (아이브),I've IVE,238971
