,곡명,아티스트,앨범,좋아요수
1,첫사랑,에피톤 프로젝트,마음속의 단어들,"41,373"
2,나는 그 사람이 아프다 (Feat. 타루),에피톤 프로젝트,사랑의 단상 Chapter 1 : With Or Without You,"43,896"
3,그대는 어디에 (Feat. 한희정),에피톤 프로젝트,Sky (김하늘 & 파스텔뮤직 컴필레이션),"16,512"
4,선인장 (Vocal 심규선),에피톤 프로젝트,유실물 보관소,"28,939"
5,새벽녘,에피톤 프로젝트,낯선 도시에서의 하루,"34,739"
6,부디,"심규선, 에피톤 프로젝트","두 번째, 방","85,549"
7,"어떤 날도, 어떤 말도","심규선, 에피톤 프로젝트",자기만의 방,"34,341"
8,"봄날, 벚꽃 그리고 너",에피톤 프로젝트,긴 여행의 시작,"20,705"
9,나무,에피톤 프로젝트,마음속의 단어들,"3,468"
10,불면증 (Vocal by 윤하),에피톤 프로젝트,불면증 (Vocal by 윤하),"17,094"
11,꽃처럼 한 철만 사랑해 줄 건가요? (Sakura Moment),"심규선, 에피톤 프로젝트",꽃처럼 한 철만 사랑해 줄 건가요? (Sakura Moment),"20,449"
12,어긋나다 (Prod. 에피톤 프로젝트),허회경,소년 소녀 연애하다 OST Part 5,"2,461"
13,이화동 (Duet With 한희정),에피톤 프로젝트,유실물 보관소,"15,225"
14,"여름, 밤","임슬옹, 에피톤 프로젝트","여름, 밤","9,382"
15,선인장 (Vocal 차세정),에피톤 프로젝트,Short Stories. 1 선인장,"11,365"
16,오늘 (Vocal 심규선),에피톤 프로젝트,유실물 보관소,"17,077"
17,너라는 이유 (Vocal by 김선호),에피톤 프로젝트,너라는 이유 (Vocal by 김선호),"17,485"
18,첫사랑 (Drama Ver.),에피톤 프로젝트,어쩌다 발견한 하루 OST Part.4,"4,202"
19,초록,에피톤 프로젝트,도도솔솔라라솔 OST Part.8,"1,743"
20,부디 (Album Ver.),"심규선, 에피톤 프로젝트",자기만의 방,"8,867"
21,"안녕, 안녕","심규선, 에피톤 프로젝트",자기만의 방,"5,302"
22,HOT 나의 밤,에피톤 프로젝트,각자의 밤,"7,686"
23,좋았던 순간은 늘 잔인하다,에피톤 프로젝트,1229,"3,272"
24,"사랑, 그 숨 막히던 순간",에피톤 프로젝트,"사랑, 그 숨 막히던 순간 : 연습장","9,281"
25,나는 그 사람이 아프다 (Feat. 타루),에피톤 프로젝트,긴 여행의 시작,"12,847"
26,눈을 뜨면,에피톤 프로젝트,긴 여행의 시작,"3,311"
27,고양이왈츠,"심규선, 에피톤 프로젝트","첫 번째, 방","1,395"
28,"봄날, 벚꽃 그리고 너",에피톤 프로젝트,"열여덟, 열아홉 OST","20,583"
29,그대는 어디에 (Feat. 한희정),에피톤 프로젝트,사랑의 단상 Chapter 2 : This Is Not A Love Song,"3,928"
30,HOT 그녀 (Her),에피톤 프로젝트,사랑의 단상 Chapter 5 : The Letter From Nowhere,"4,098"
31,노크 knock (Vocal by 윤아 (YOONA)),에피톤 프로젝트,노크 knock,"1,946"
32,시차,에피톤 프로젝트,낯선 도시에서의 하루,"2,505"
33,유채꽃,에피톤 프로젝트,유실물 보관소,"4,678"
34,꽃 처럼 한 철만 사랑해 줄 건가요?,"심규선, 에피톤 프로젝트",자기만의 방,"12,445"
35,첫사랑 (Drama Ver.),에피톤 프로젝트,어쩌다 발견한 하루 OST,"1,130"
36,어른,에피톤 프로젝트,마음속의 단어들,"1,891"
37,조금이라도 위로가 된다면 곁에 있을게,에피톤 프로젝트,위로 : 에피톤 프로젝트 X 착플리 프로젝트 VOL.2,"6,403"
38,"낯선, 새벽",에피톤 프로젝트,이혼변호사는 연애중 OST Part 3,"5,130"
39,달콤씁쓸한,에피톤 프로젝트,기착寄着,"1,806"
40,부디 (Inst.),"심규선, 에피톤 프로젝트","두 번째, 방",538
41,아이보리,"가을방학, 에피톤 프로젝트",Ten Years After : 두 번째 조우 (Pastel Music 10th Anniversary),"5,861"
42,"봄날, 벚꽃 그리고 너 Strings",에피톤 프로젝트,Short Stories. 1 선인장,662
43,소나기,에피톤 프로젝트,마음속의 단어들,"1,665"
44,미움 (Vocal 손주희),에피톤 프로젝트,각자의 밤,"11,350"
45,오늘 (Vocal 차세정),에피톤 프로젝트,Short Stories. 1 선인장,"2,189"
46,해열제 (Vocal Sammi),에피톤 프로젝트,유실물 보관소,"3,723"
47,떠나자,에피톤 프로젝트,낯선 도시에서의 하루,"3,283"
48,나는 그 사람이 아프다. (오스트레일리아 울룰루 '세상의 중심에서 사랑을 외치다' - 그 밤 나는 별의 잔해였다),에피톤 프로젝트,천일의 몽상,"1,018"
49,불안,에피톤 프로젝트,각자의 밤,776
50,연착,에피톤 프로젝트,마음속의 단어들,"2,969"
